Kategorie,Titel,Autor/Entwickler,Erscheinungsjahr
Buch,Metro 2033,Dmitry Glukhovsky, Ldp, Dmitri Glukhovsky, Glukhovskii D., Gluhovskij Dmitrij, Dmitrij A. Gluchovskij, Dmitry Glukhovsky, Dimitry Glukhovsky, DMITRIJ GLUHOVSKI, Joan Josep Mussarra Roca,2007
Buch,Monströse Räume in Glukhovskijs Metro 2033,Jan Lindenau,2013
Buch,Metro 2033 Dots Lines Spirals Coloring Book,Muna Gemert,2020
Buch,Metro 2033 Cookbook,Luke Bailey,2021
Film,Metro 2033,,2010
Film,Metro 2033: The Fan Film,,2015
Film,Metro 2033,,2024
Film,Metro 2033,,2020–
Spiel,Metro 2033,4A Games, THQ,2010
Spiel,Metro 2033,Kefir!,2012
Spiel,Metro 2033: Wars,DaSuppa Studios,2014
Spiel,Metro 2033 Redux,Koch Media, Deep Silver, 4A Games,2014
Spiel,Metro 2033 Wars: Born in the Dark,DaSuppa Studios,Unbekannt
Spiel,Metro: Last Light,Deep Silver, 4A Games,2013
